id,platform,postId,authorId,authorName,content,createdAt,editedAt,url,channelId,threadRefId,media,metricsLikes,metricsComments,metricsShares,extraJson,isTest,language,project_id,job_id,sentiment,summary,ai_processed_at
"476038","blogs","e22c93846f797b63d348bc3d--idea-5",,"American Airlines tweaks bag fees: Why you'll definitely want to plan ahead","American Airlines is raising the fee for a second checked bag to $50 at the airport, following a trend of increased bag fees in the airline industry and after reporting a significant drop in profits for 2025.","""2026-02-22T23:48:48.700Z""",,"https://thepointsguy.com/news/american-airlines-tweaks-checked-baggage-policy/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"NEGATIVE",,"""2026-02-22T23:49:42.639Z"""
"476037","blogs","e22c93846f797b63d348bc3d--idea-4",,"American Airlines tweaks bag fees: Why you'll definitely want to plan ahead","American Airlines has enhanced its mobile app and online tools to facilitate easier baggage addition and flight changes for customers.","""2026-02-22T23:48:48.700Z""",,"https://thepointsguy.com/news/american-airlines-tweaks-checked-baggage-policy/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"POSITIVE",,"""2026-02-22T23:49:42.638Z"""
"476036","blogs","e22c93846f797b63d348bc3d--idea-3",,"American Airlines tweaks bag fees: Why you'll definitely want to plan ahead","American Airlines aims to encourage travelers to prepay for their second checked bag to reduce check-in and bag-drop lines at the airport.","""2026-02-22T23:48:48.700Z""",,"https://thepointsguy.com/news/american-airlines-tweaks-checked-baggage-policy/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"POSITIVE",,"""2026-02-22T23:49:42.637Z"""
"476035","blogs","e22c93846f797b63d348bc3d--idea-2",,"American Airlines tweaks bag fees: Why you'll definitely want to plan ahead","American Airlines will charge $35 for the first checked bag if prepaid online and $40 if paid at the airport, with no changes to these fees.","""2026-02-22T23:48:48.700Z""",,"https://thepointsguy.com/news/american-airlines-tweaks-checked-baggage-policy/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"NEUTRAL",,"""2026-02-22T23:49:42.635Z"""
"476034","blogs","e22c93846f797b63d348bc3d--idea-1",,"American Airlines tweaks bag fees: Why you'll definitely want to plan ahead","American Airlines announced an increase in fees for passengers' second checked bag to $50 if paid at the airport, up from $45, while maintaining a $45 fee for those who prepay online.","""2026-02-22T23:48:48.700Z""",,"https://thepointsguy.com/news/american-airlines-tweaks-checked-baggage-policy/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"NEGATIVE",,"""2026-02-22T23:49:42.634Z"""
"476033","blogs","d1f5b51fd987260027c55ea0--idea-7",,"Review: Malaysia Airlines A330-900neo Business Class","Matthew Klint believes that the Malaysia Airlines A330-900neo offers superior business class comfort compared to the A350-900, primarily due to the quality of the Collins Aerospace Elevation seats.","""2026-02-22T23:48:38.283Z""",,"https://liveandletsfly.com/malaysia-airlines-a330-900neo-business-class-review/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"POSITIVE",,"""2026-02-22T23:49:42.633Z"""
"476032","blogs","d1f5b51fd987260027c55ea0--idea-6",,"Review: Malaysia Airlines A330-900neo Business Class","Service on Malaysia Airlines' flight was warm and attentive, highlighted by a friendly purser named Mr. Teck Hui, who engaged in a pleasant conversation about his extensive experience in the airline industry.","""2026-02-22T23:48:38.283Z""",,"https://liveandletsfly.com/malaysia-airlines-a330-900neo-business-class-review/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"POSITIVE",,"""2026-02-22T23:49:42.631Z"""
"476031","blogs","d1f5b51fd987260027c55ea0--idea-5",,"Review: Malaysia Airlines A330-900neo Business Class","Malaysia Airlines served breakfast shortly after takeoff, offering options such as Nasi Lemak and Roasted Chicken Thigh, while Matthew Klint expressed disappointment over the inclusion of pungent 'petai' beans.","""2026-02-22T23:48:38.283Z""",,"https://liveandletsfly.com/malaysia-airlines-a330-900neo-business-class-review/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"NEGATIVE",,"""2026-02-22T23:49:42.630Z"""
"476030","blogs","d1f5b51fd987260027c55ea0--idea-4",,"Review: Malaysia Airlines A330-900neo Business Class","Each business class seat on the Malaysia Airlines A330-900neo features a 17.3-inch 4K touch screen display with a decent selection of content, but the in-flight entertainment system is considered below average compared to competitors.","""2026-02-22T23:48:38.283Z""",,"https://liveandletsfly.com/malaysia-airlines-a330-900neo-business-class-review/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"MIXED",,"""2026-02-22T23:49:42.629Z"""
"476029","blogs","d1f5b51fd987260027c55ea0--idea-3",,"Review: Malaysia Airlines A330-900neo Business Class","Malaysia Airlines A330-900neo business class features 28 Collins Aerospace Elevation seats arranged in a 1-2-1 reverse herringbone pattern, with each seat offering 44 inches of pitch and the ability to convert into a fully lie-flat bed.","""2026-02-22T23:48:38.283Z""",,"https://liveandletsfly.com/malaysia-airlines-a330-900neo-business-class-review/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"POSITIVE",,"""2026-02-22T23:49:42.628Z"""
"476028","blogs","d1f5b51fd987260027c55ea0--idea-2",,"Review: Malaysia Airlines A330-900neo Business Class","Matthew Klint booked his ticket for the flight using British Airways Avios at a cost of 22,000 Avios and $38 in taxes, while a paid ticket could exceed 500 USD.","""2026-02-22T23:48:38.283Z""",,"https://liveandletsfly.com/malaysia-airlines-a330-900neo-business-class-review/",,,,,,,,"false",,"01KEDS2SD1X3MVN76DV58CMNJD",,"NEUTRAL",,"""2026-02-22T23:49:42.627Z"""
